col1,col2,from_page
Employee Number:,Income Tax Number (PAN):,1
"Function eo, F",PF account number: . ...,1
Designation ;,ES] Number,1
Location :,PR Account Number (PRAN) :,1
Bank Details,-,1
Date ofjoining :. -,,1
,,1
[AttendanceDetails = = ==   ==,——-Value,1
| Present,30 Days,1
"‘Earnings=, Amount _GrossSalary Deductions",,1
"Sasi 15,000.00'","15,000.00 EPF Deduction",1
"|BASIC + DA 5,426.00,","5,426.00 PT",1
"| HRA 8,170.00","8,170.00",1
"| Conveyance | 1,600.00'","1,600.00",1
"Medical Allowance | 1,250.00:","1,250.00",1
‘Statutory Bonus 585.00:,585.00,1
"Admini Charges |2,012.00!","2,012.00,",1
"‘TotalEarnings34,043.00 34,043.00| Total Deductions",,1
,|   ‘Net Amount,1
Amount (in words):,,1
INR Thirty Two Thousand Forty Three Only,,1
,,1
